source,locale,sourceBookKey,externalId,title,format,sizeLabel,label,description,downloadUrl,fileOrder
mukitob,az,mukitob:az:12,12,Qadınların inandığı yalan,rtf,10Mb,rtf (10Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=12&f=rtf,5
mukitob,az,mukitob:az:12,12,Qadınların inandığı yalan,txt,472Kb,txt (472Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=12&f=txt,6
mukitob,az,mukitob:az:13,13,Şahid,docx,309Kb,docx (309Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=13&f=docx,1
mukitob,az,mukitob:az:13,13,Şahid,epub,2Mb,epub (2Mb),"EPUB - Apple (iPad, iPod, iPhone) firması və Android əsaslı qurğular üçün optimal formatdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=13&f=epub,2
mukitob,az,mukitob:az:13,13,Şahid,fb2,510Kb,fb2 (510Kb),"FB2 - elektron kitabların oxunması üçün qurğuların və proqramların məşhur formatıdır. Bura interaktiv mündəricat, təsvirlər, istinadlar daxildir.",https://mukitob.com/books/az/download.php?id_book=13&f=fb2,3
mukitob,az,mukitob:az:13,13,Şahid,pdf,736Kb,pdf (736Kb),PDF - Adobe Systems-in geniş yayılmış formatıdır. Kitab təsvirlərlə birlikdə çap versiyasına bənzəyir. Özündə interaktiv mündəricat saxlayır.,https://mukitob.com/books/az/download.php?id_book=13&f=pdf,4
mukitob,az,mukitob:az:13,13,Şahid,rtf,6Mb,rtf (6Mb),"RTF - qurğuların əksəriyyətində dəstəklənən universal mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=13&f=rtf,5
mukitob,az,mukitob:az:13,13,Şahid,txt,619Kb,txt (619Kb),"TXT - ən sadə formatdır. Məlumat mətn şəklində formalaşdırılmadan, təsvirsiz və hiperlinksiz təqdim olunur. İstənilən qurğuda açılır.",https://mukitob.com/books/az/download.php?id_book=13&f=txt,6
mukitob,az,mukitob:az:13,13,Şahid,mp3,,mp3,MP3 - audio-faylların qulaq asılması üçün ən geniş yayılmış formatdır.,https://mukitob.com/books/az/audio.php?id_book=13,7
mukitob,az,mukitob:az:14,14,Valideyn duasının gücü,docx,283Kb,docx (283Kb),"DOCX - Microsoft Word proqramında yaradılmış müasir mətn formatıdır. Özündə formalaşdırmanı, təsvirləri, hyperlink, istinadlar saxlayır.",https://mukitob.com/books/az/download.php?id_book=14&f=docx,1
